claim_id,claim_type,claim_amount,policy_limit,premium,policy_age_days,prior_claims,report_delay_days,police_report
CLM-045360,Health,11586,23172,1116,279,0,2,yes
CLM-016745,Liability,8251,16502,984,246,0,2,yes
CLM-007194,Health,11586,23172,1140,285,0,2,yes
CLM-018146,Auto,7517,15034,624,156,0,2,yes
CLM-049011,Property,10444,20888,1212,303,0,2,yes
CLM-053680,Property,9444,18888,372,93,0,2,yes
CLM-053943,Health,11586,23172,540,135,0,2,yes
CLM-002857,Property,9069,18138,1284,321,0,2,yes
CLM-028225,Property,8696,17392,1284,321,0,2,yes
CLM-047631,Property,9069,18138,36,9,0,2,yes
CLM-042460,Property,9069,18138,1260,315,0,2,yes
CLM-007030,Auto,7517,15034,636,159,0,2,yes
CLM-050280,Health,11586,23172,1224,306,0,18,no
CLM-002844,Auto,7517,15034,168,42,0,2,yes
CLM-016746,Auto,7517,15034,672,168,0,2,yes
CLM-032069,Property,9069,18138,1236,309,0,2,yes
CLM-058212,Auto,7517,15034,1056,264,0,2,yes
CLM-031558,Liability,8251,16502,84,21,0,2,yes
CLM-025424,Property,9069,18138,288,72,0,2,yes
CLM-002953,Auto,7773,15546,1164,291,0,2,yes
CLM-037269,Property,9444,18888,1392,348,0,2,yes
CLM-023833,Property,9069,18138,636,159,0,2,yes
CLM-025238,Health,11586,23172,1224,306,0,2,yes
CLM-051424,Health,11586,23172,108,27,0,2,yes
CLM-038857,Auto,7517,15034,144,36,0,2,yes
CLM-050788,Auto,7517,15034,156,39,0,2,yes
CLM-005658,Liability,8251,16502,1488,372,0,2,yes
CLM-042408,Property,8696,17392,816,204,0,2,yes
CLM-028528,Auto,7517,15034,84,21,0,2,yes
CLM-021346,Property,9069,18138,1308,327,0,18,no
CLM-058206,Property,9069,18138,1488,372,0,2,yes
CLM-039202,Auto,7517,15034,924,231,0,2,yes
CLM-013172,Property,9444,18888,996,249,0,2,yes
CLM-017306,Property,8696,17392,96,24,0,2,yes
CLM-048268,Auto,7517,15034,1272,318,0,2,yes
CLM-050891,Property,9069,18138,336,84,0,2,yes
CLM-025294,Property,9069,18138,24,6,0,2,yes
CLM-048265,Health,11586,23172,1416,354,0,2,yes
CLM-051837,Auto,7773,15546,768,192,0,2,yes
CLM-051314,Property,9069,18138,516,129,0,2,yes
CLM-051999,Property,9444,18888,1452,363,0,2,yes
CLM-036646,Auto,7517,15034,660,165,0,2,yes
CLM-019345,Auto,7517,15034,312,78,0,2,yes
CLM-046629,Health,11586,23172,108,27,0,2,yes
CLM-028098,Liability,9069,18138,1212,303,0,2,yes
CLM-048488,Health,11586,23172,216,54,0,2,yes
CLM-042405,Auto,7517,15034,552,138,0,2,yes
CLM-025380,Auto,9942,19884,324,81,0,2,yes
CLM-034272,Auto,7773,15546,1308,327,0,2,yes
CLM-016022,Liability,9069,18138,108,27,0,2,yes
CLM-049690,Property,9069,18138,264,66,0,2,yes
CLM-018564,Auto,7517,15034,48,12,0,2,yes
CLM-028214,Property,9069,18138,1404,351,0,2,yes
CLM-017795,Property,9069,18138,1272,318,0,2,yes
CLM-037445,Property,9069,18138,1464,366,0,2,yes
CLM-030791,Health,11586,23172,96,24,0,2,yes
CLM-031652,Property,9444,18888,456,114,0,2,yes
CLM-048564,Health,11586,23172,60,15,0,2,yes
CLM-036744,Liability,9069,18138,600,150,0,2,yes
CLM-051852,Health,11586,23172,156,39,0,2,yes
CLM-034655,Property,8696,17392,240,60,0,2,yes
CLM-013657,Auto,7517,15034,72,18,0,2,yes
CLM-036292,Property,9069,18138,120,30,0,2,yes
CLM-046230,Auto,7517,15034,24,6,0,2,yes
CLM-030074,Liability,8251,16502,132,33,0,2,yes
CLM-029053,Property,9069,18138,588,147,0,2,yes
CLM-025853,Property,9069,18138,180,45,0,2,yes
CLM-011617,Auto,7517,15034,336,84,0,2,yes
CLM-000310,Auto,7517,15034,1344,336,0,2,yes
CLM-000881,Property,9069,18138,1488,372,0,2,yes
CLM-050628,Property,9069,18138,120,30,0,2,yes
CLM-041571,Property,9069,18138,984,246,0,2,yes
CLM-014139,Auto,7517,15034,516,129,0,2,yes
CLM-015985,Auto,9942,19884,216,54,0,2,yes
CLM-036953,Health,11586,23172,1332,333,0,2,yes
CLM-031268,Property,9444,18888,600,150,0,2,yes
CLM-044165,Liability,8251,16502,1464,366,0,18,no
CLM-015210,Property,9444,18888,1272,318,0,2,yes
CLM-017988,Auto,7517,15034,24,6,0,2,yes
CLM-040132,Health,11586,23172,1476,369,0,2,yes
CLM-029975,Health,11586,23172,132,33,0,2,yes
CLM-012008,Property,8696,17392,1332,333,0,18,no
CLM-024190,Health,11586,23172,1284,321,0,2,yes
CLM-041165,Health,11586,23172,816,204,0,2,yes
CLM-043686,Auto,7517,15034,132,33,0,18,no
CLM-046050,Health,11586,23172,1416,354,0,2,yes
CLM-016716,Auto,7517,15034,1020,255,0,2,yes
CLM-048143,Auto,7517,15034,12,3,0,2,yes
CLM-040465,Auto,7517,15034,636,159,0,2,yes
CLM-021590,Property,9069,18138,48,12,0,2,yes
CLM-016902,Property,9069,18138,372,93,0,2,yes
CLM-015979,Auto,7517,15034,888,222,0,2,yes
CLM-002198,Auto,7517,15034,528,132,0,2,yes
CLM-015442,Property,10444,20888,924,231,0,2,yes
CLM-044215,Property,8696,17392,252,63,0,2,yes
CLM-025615,Health,11586,23172,456,114,0,2,yes
CLM-034389,Auto,9942,19884,264,66,0,2,yes
CLM-002870,Property,9069,18138,1164,291,0,2,yes
CLM-020050,Auto,7517,15034,912,228,0,2,yes
CLM-001057,Health,11586,23172,1404,351,0,2,yes
CLM-015570,Health,11586,23172,108,27,0,2,yes
CLM-028688,Auto,7517,15034,612,153,0,2,yes
CLM-039509,Auto,9942,19884,120,30,0,2,yes
CLM-036840,Auto,7517,15034,684,171,0,18,no
CLM-016671,Health,11586,23172,108,27,0,2,yes
CLM-009331,Property,9069,18138,1056,264,0,2,yes
CLM-035335,Health,11586,23172,96,24,0,2,yes
CLM-014044,Property,9069,18138,408,102,0,2,yes
CLM-032843,Property,8696,17392,24,6,0,2,yes
CLM-018913,Auto,7517,15034,48,12,0,2,yes
CLM-046578,Health,11586,23172,672,168,0,2,yes
CLM-039542,Auto,7517,15034,324,81,0,2,yes
CLM-052627,Property,8696,17392,456,114,0,2,yes
CLM-009795,Auto,7517,15034,384,96,0,2,yes
CLM-015671,Health,11586,23172,1332,333,0,2,yes
CLM-047001,Property,9069,18138,264,66,0,2,yes
CLM-001445,Auto,7517,15034,168,42,0,2,yes
CLM-051439,Health,11586,23172,972,243,0,2,yes
CLM-025076,Liability,8251,16502,132,33,0,2,yes
CLM-051295,Property,9069,18138,360,90,0,2,yes
CLM-050148,Health,11586,23172,1044,261,0,18,no
CLM-037417,Auto,7517,15034,780,195,0,2,yes
CLM-039175,Property,8696,17392,336,84,0,2,yes
CLM-048125,Auto,7517,15034,264,66,0,2,yes
CLM-016257,Health,11586,23172,1464,366,0,2,yes
